state,name,bbox
AL,Alabama,"[-88.4731014, 30.143376, -84.8882885, 35.0081121]"
AK,Alaska,"[-180.0, 51.0070029, 180.0, 71.5889534]"
AZ,Arizona,"[-114.8183584, 31.3322135, -109.045131, 37.0038722]"
AR,Arkansas,"[-94.6178753, 33.0042455, -89.644395, 36.4996]"
CA,California,"[-124.482003, 32.5295236, -114.1307816, 42.009499]"
CO,Colorado,"[-109.0601879, 36.9925245, -102.041585, 41.0034002]"
CT,Connecticut,"[-73.727811, 40.950983, -71.787239, 42.0505827]"
DE,Delaware,"[-75.7890215, 38.4511785, -74.9849355, 39.8395147]"
DC,District of Columbia,"[-77.1197949, 38.7916303, -76.909366, 38.995968]"
FL,Florida,"[-87.634896, 24.396308, -79.974306, 31.000762]"
GA,Georgia,"[-85.605165, 30.3556558, -80.751429, 35.0006769]"
HI,Hawaii,"[-178.443593, 18.86546, -154.755792, 28.517269]"
ID,Idaho,"[-117.2430324, 41.9888339, -111.043564, 49.0008447]"
IL,Illinois,"[-91.5130518, 36.9701313, -87.0199244, 42.5083736]"
IN,Indiana,"[-88.0972043, 37.7716793, -84.784609, 41.761368]"
IA,Iowa,"[-96.6397162, 40.3756007, -90.140061, 43.5011589]"
KS,Kansas,"[-102.0517919, 36.9930715, -94.5882049, 40.0032291]"
KY,Kentucky,"[-89.571509, 36.497118, -81.9645413, 39.1477997]"
LA,Louisiana,"[-94.0431869, 28.8542892, -88.758331, 33.0195943]"
ME,Maine,"[-71.0841694, 42.9222206, -66.8854053, 47.4598397]"
MD,Maryland,"[-79.4873055, 37.8865288, -74.9852049, 39.7230286]"
MA,Massachusetts,"[-73.5082102, 41.1888589, -69.8601042, 42.8867783]"
MI,Michigan,"[-90.4186202, 41.6961278, -82.1228056, 48.306063]"
MN,Minnesota,"[-97.2392619, 43.4994288, -89.483385, 49.3844722]"
MS,Mississippi,"[-91.655009, 30.1436769, -88.0977945, 34.9960168]"
MO,Missouri,"[-95.7741441, 35.9957227, -89.098843, 40.6136347]"
MT,Montana,"[-116.0492317, 44.357915, -104.039563, 49.0011094]"
NE,Nebraska,"[-104.053514, 39.9999776, -95.3080545, 43.0014799]"
NV,Nevada,"[-120.0065184, 35.0018894, -114.0402955, 42.00038]"
NH,New Hampshire,"[-72.5572359, 42.6972286, -70.5613593, 45.3057789]"
NJ,New Jersey,"[-75.563386, 38.7911303, -73.893628, 41.3574523]"
NM,New Mexico,"[-109.0502229, 31.3322006, -103.0022266, 37.0001788]"
NY,New York,"[-74.258843, 40.476578, -73.700233, 40.91763]"
NC,North Carolina,"[-84.3218293, 33.752878, -75.400119, 36.588157]"
ND,North Dakota,"[-104.048949, 45.935054, -96.5543975, 49.0005765]"
OH,Ohio,"[-84.8203361, 38.4031419, -80.5189601, 42.3246919]"
OK,Oklahoma,"[-103.0024413, 33.6191533, -94.4312145, 37.0022994]"
OR,Oregon,"[-124.703541, 41.991794, -116.4631465, 46.2923948]"
PA,Pennsylvania,"[-80.5210906, 39.7197662, -74.689672, 42.5161334]"
RI,Rhode Island,"[-71.907431, 41.095834, -71.088571, 42.0189359]"
SC,South Carolina,"[-83.3539979, 32.033454, -78.5413536, 35.2154852]"
SD,South Dakota,"[-104.0577568, 42.4798925, -96.4363403, 45.945335]"
TN,Tennessee,"[-90.310298, 34.982938, -81.6472191, 36.678118]"
TX,Texas,"[-106.6458459, 25.83706, -93.5078217, 36.5004529]"
UT,Utah,"[-114.0528506, 36.9978085, -109.0415767, 42.001702]"
VT,Vermont,"[-73.43774, 42.72696, -71.465386, 45.016665]"
VA,Virginia,"[-83.6753671, 36.5407896, -75.166435, 39.466012]"
WA,Washington,"[-77.1197949, 38.7916303, -76.909366, 38.995968]"
WV,West Virginia,"[-82.644739, 37.2014139, -77.719029, 40.638801]"
WI,Wisconsin,"[-92.8893149, 42.4919515, -86.249548, 47.3025]"
WY,Wyoming,"[-111.0552665, 40.9948223, -104.0522528, 45.0058281]"
